auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,3.9,"An American Wheat beer with a crisp mellow maltiness balanced by fruity, spicy, hop flavors and aromas. ",0,https://untappd.akamaized.net/site/beer_logos/beer-YborGoldWheatAle_20415.jpeg,,Ybor Gold Wheat Ale,florida-beer-company-ybor-gold-wheat-ale,Pale Wheat Ale - American,20415,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:51:51 +0000",0,1,,,,21,3.36905,0,31,29,0,,,,,,,,,,,0.0,[],3.63105,False
0,6.6,Burnside IPA is our flagship brand on our sparkling new 15bbl system. An IPA with plenty of malt body and thoroughly hopped with 6 varieties of the herbaceous perennial. Expect to taste notes of pine & grapefruit in Jason?s first offering.,84,https://untappd.akamaized.net/site/beer_logos/beer-IPA_20404.jpeg,,IPA,burnside-brewing-co-ipa,IPA - American,20404,5739,https://untappd.akamaized.net/site/brewery_logos/brewery-5739_06cbe.jpeg,Burnside Brewing Co.,burnside-brewing-co,Micro Brewery,http://www.facebook.com/pages/Burnside-Brewing-Co/143765235649430,burnsidebrewco,http://burnsidebrewco.com,United States,Portland,OR,45.5233,-122.658,"Sun, 02 Jan 2011 13:31:05 +0000",0,1,20404.0,"Wed, 29 Feb 2012 03:57:56 +0000",20416.0,6330,3.56181,79,8492,7137,0,,,,,,,,,,,0.0,[],3.5659,False
0,4.4,"A medium bodied English style Brown Ale with a distinctive nutty, toffee, caramel flavor and a smooth, mild finish. ",0,https://untappd.akamaized.net/site/beer_logos/beer-YborGoldBrownAle_20417.jpeg,,Ybor Gold Brown Ale,florida-beer-company-ybor-gold-brown-ale,Brown Ale - American,20417,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:53:08 +0000",0,1,,,,801,3.25531,1,995,888,0,,,,,,,,,,,0.0,[],3.36465,False
0,5.2,"Formerly called ""Gaspar's Ale"". A dark brown porter, medium to full-bodied. Chocolate, coffee, malt character balanced with a noticeable hop bitterness.Available December - March.",0,https://untappd.akamaized.net/site/beer_logos/beer-YborGoldGasparsPorter_20418.jpeg,,Ybor Gold Gaspar's Porter,florida-beer-company-ybor-gold-gaspar-s-porter,Porter - American,20418,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:54:34 +0000",0,1,,,,191,3.51702,0,236,221,0,,,,,,,,,,,0.0,[],3.59916,False
0,0.0,Ybor Gold Light is a light bodied Pilsner with a refreshing crisp finish that has just 105 calories and 4.3 grams carbohydrates per 12 oz bottle. This beer displays a slight hop bite. The light body of this beer make it a great summertime treat.,0,https://untappd.akamaized.net/site/beer_logos/beer-YborGoldLight_11154.jpeg,,Ybor Gold Light,florida-beer-company-ybor-gold-light,Pilsner - Other,11154,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Fri, 26 Nov 2010 11:00:22 +0000",0,1,11154.0,"Tue, 14 Feb 2012 03:23:03 +0000",20419.0,43,2.95349,0,73,71,0,,,,,,,,,,,0.0,[],3.56383,False
0,0.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-20420_a3ca5_sm.jpeg,,Smoked Porter,mt-hood-brewing-smoked-porter,Schwarzbier,20420,6319,https://untappd.akamaized.net/site/brewery_logos/brewery-MtHoodBrewingCo_6319.jpeg,Mt. Hood Brewing,mt-hood-brewing,Micro Brewery,,,http://www.iceaxegrill.com/mthoodbrewco.php,United States,Government Camp,OR,45.304,-121.754,"Sun, 02 Jan 2011 14:00:19 +0000",0,1,,,,144,3.57986,2,161,158,0,,,,,,,,,,,0.0,[],3.62812,False
0,3.6,"Key West Pilsner Light is a light-bodied, low calorie pilsner, delicately balanced between the sweetness of 100% malted barley and the crisp, finish of German hops. An average analysis shows that one 12 oz. bottle contains 82 calories, 4g carbohydrates, 1g protein, and 0g fat.",0,https://untappd.akamaized.net/site/beer_logos/beer-KeyWestPilsnerLight_20421.jpeg,,Key West Pilsner Light,florida-beer-company-key-west-pilsner-light,Pilsner - Other,20421,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 14:00:23 +0000",0,1,,,,79,2.77532,1,100,94,0,,,,,,,,,,,0.0,[],3.47107,False
0,4.8,"Key West Golden Lager is a light bodied, crisp, golden lager, brewed with two-row malt and fresh hops.Just right for drinking in the tropics.",0,https://untappd.akamaized.net/site/beer_logos/beer-KeyWestGoldenLager_20422.jpeg,,Key West Golden Lager,florida-beer-company-key-west-golden-lager,Lager - North American Adjunct,20422,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 14:01:16 +0000",0,1,,,,705,3.25993,8,868,825,0,,,,,,,,,,,0.0,[],3.378,False
0,6.0,"A smooth creamy chocolate laden Porter. Willamette Hops. Malts: Premium Two Row, Crystal, Munich, Brown, Pale Chocolate, Chocolate. 5.8 ABV. 27 IBU",27,https://untappd.akamaized.net/site/beer_logos/beer-_20423_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_20423_hd_572986a28fdd06370b1c64b36b8cc7.jpeg,Pilot Rock Porter,caldera-brewing-company-pilot-rock-porter,Porter - Other,20423,328,https://untappd.akamaized.net/site/brewery_logos/brewery-CalderaBrewing_328.jpeg,Caldera Brewing Company,caldera-brewing-company,Micro Brewery,http://www.facebook.com/calderabrewery,,http://www.calderabrewing.com/,United States,Ashland,OR,42.1991,-122.715,"Sun, 02 Jan 2011 14:04:54 +0000",0,1,,,,9783,3.67858,156,12204,10595,0,,,,,,,,,,,0.0,[],3.67774,False
0,4.9,The Kirin Lager beer is made in Japan since 1888. The most famous beer in Japan.,0,https://untappd.akamaized.net/site/beer_logos/beer-Lager_6131.jpeg,,Lager,kirin-brewery-company-lager,Lager - Japanese Rice,6131,741,https://untappd.akamaized.net/site/brewery_logos/brewery-KirinBreweryCompany_741.jpeg,Kirin Brewery Company,kirin-brewery-company,Macro Brewery,https://www.facebook.com/kirinbeer,Kirin_Brewery,http://www.kirin.co.jp/,Japan,Nakano-ku,Tokyo,35.7071,139.662,"Mon, 04 Oct 2010 18:27:34 +0000",0,1,6131.0,"Thu, 01 Jan 1970 00:00:00 +0000",20424.0,14439,3.01598,392,20950,17104,0,,,,,,,,,,,0.0,[],3.02912,False
