auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Oak-aged Wheat Wine,blue-canoe-brewery-oak-aged-wheat-wine,Wheat Wine,23182,6539,https://untappd.akamaized.net/site/brewery_logos/brewery-BlueCanoeBrewery_6539.jpeg,Blue Canoe Brewery (Pennsylvania),blue-canoe-brewery-pennsylvania,Micro Brewery,http://www.facebook.com/pages/The-Blue-Canoe-Brewery/120508244633208,,http://www.thebluecanoebrewery.com,United States,Titusville,PA,41.6243,-79.6733,"Sun, 09 Jan 2011 13:24:50 +0000",0,1,,,,0,0.0,,0,2,2,0,,,,,,,,,,,0.0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,, Freyja Norwegian Imperial Cherry-Chocolate Stout,dmick-s-homebrew-freyja-norwegian-imperial-cherry-chocolate-stout,Stout - American Imperial / Double,23183,1698,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,dMick's Homebrew,dmick-s-homebrew,Home Brewery,,,,United States,,,0.0,0.0,"Sun, 09 Jan 2011 13:31:15 +0000",1,1,,,,0,0.0,,0,3,2,0,,,,,,,,,,,0.0,[],3.786,False
0,6.6,"Gruut Amber Ale has an amazing rich taste, a deep copper colour and a smooth drink-ability and when using the typical open glass, you will see a fabulous head, discover its deep copper color and capture its delicate aroma.",0,https://untappd.akamaized.net/site/beer_logos/beer-_23184_sm_7e936a1d7551f88af8f60f161ac7e8.jpeg,,Gruut Amber,gentse-gruut-stadsbrouwerij-gruut-amber,Gruit / Ancient Herbed Ale,23184,6224,https://untappd.akamaized.net/site/brewery_logos/brewery-6224_a1ab7.jpeg,Gentse Gruut Stadsbrouwerij,gentse-gruut-stadsbrouwerij,Micro Brewery,https://www.facebook.com/Gruut?fref,,http://www.gruut.be,Belgium,Gent,Oost-Vlaanderen,51.0567,3.71996,"Sun, 09 Jan 2011 13:37:41 +0000",0,1,,,,4578,3.34387,,180,5443,5013,0,,,,,,,,,,,0.0,[],3.36305,False
0,8.5,"Norge og S?rlandet har siden 1864 hatt innflytelse p? brygging i Japan. http://www.kirin.co.jp/daigaku/ o japan/william copland/index.html. Vi p? N?gne ? ?nsket ? markere dette ved ? invitere bryggermester Toshi Ishii fra Karuizawa, Nagano til ? brygge sammen med oss. Resultatet ser du her: en Dobbel IPA.

A guest brew by Toshi Ishii from Yo-Ho Brewing, 100 IBU.",0,https://untappd.akamaized.net/site/beer_logos/beer-DobbelIPA_23185.jpeg,,Toshi Dobbel IPA,nogne-o-toshi-dobbel-ipa,IPA - Imperial / Double,23185,923,https://untappd.akamaized.net/site/brewery_logos/brewery-923_1cde4.jpeg,N?gne ?,nogne-o,Micro Brewery,http://www.facebook.com/nogneo,nogneo,http://www.nogne-o.com/,Norway,Grimstad,,58.406,8.63723,"Sun, 09 Jan 2011 13:44:26 +0000",0,1,,,,128,3.77734,,0,186,184,0,,,,,,,,,,,0.0,[],3.68813,False
0,8.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-sweetwaterBigOlBelgian.jpg,,Big Ol' Belgian Blue Balls (Dank Tank),sweetwater-brewing-company-big-ol-belgian-blue-balls-dank-tank,Fruit Beer,23186,1224,https://untappd.akamaized.net/site/brewery_logos/brewery-1224_960f1.jpeg,SweetWater Brewing Company ,sweetwater-brewing-company,Micro Brewery,http://www.facebook.com/sweetwaterbrew,SweetWaterBrew,http://sweetwaterbrew.com/,United States,Atlanta,GA,33.8081,-84.3812,"Sun, 09 Jan 2011 13:51:47 +0000",0,0,,,,73,3.98288,,0,137,124,0,,,,,,,,,,,0.0,[],3.71459,False
0,11.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,BSP Coffee Quad Ale (Dank Tank),sweetwater-brewing-company-bsp-coffee-quad-ale-dank-tank,Belgian Quad,23187,1224,https://untappd.akamaized.net/site/brewery_logos/brewery-1224_960f1.jpeg,SweetWater Brewing Company ,sweetwater-brewing-company,Micro Brewery,http://www.facebook.com/sweetwaterbrew,SweetWaterBrew,http://sweetwaterbrew.com/,United States,Atlanta,GA,33.8081,-84.3812,"Sun, 09 Jan 2011 13:54:31 +0000",0,0,,,,7,0.0,,0,14,14,0,11.0,BSP Quad Ale (Dank Tank),sweetwater-brewing-company-bsp-quad-ale-dank-tank,23189.0,64.0,,,,,,,,3.48735,False
0,6.0,An infusion of raspberry in this hefeweizen has created a unique blend with a big mouth feel.,0,https://untappd.akamaized.net/site/beer_logos/beer-_23188_sm_315c43d71cb54d9cc7e367b78bc098.jpeg,,Raspbeery,russell-ranch-brewery-raspbeery,Hefeweizen,23188,6540,https://untappd.akamaized.net/site/brewery_logos/brewery-russellranchbrewery_6540.jpeg,Russell Ranch Brewery,russell-ranch-brewery,Home Brewery,,,,United States,Covington,WA,0.0,0.0,"Sun, 09 Jan 2011 13:55:11 +0000",1,1,,,,1,0.0,,0,29,2,0,,,,,,,,,,,0.0,[],2.524,False
0,11.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-sweetwaterQuadBSP.jpg,,BSP Quad Ale (Dank Tank),sweetwater-brewing-company-bsp-quad-ale-dank-tank,Belgian Quad,23189,1224,https://untappd.akamaized.net/site/brewery_logos/brewery-1224_960f1.jpeg,SweetWater Brewing Company ,sweetwater-brewing-company,Micro Brewery,http://www.facebook.com/sweetwaterbrew,SweetWaterBrew,http://sweetwaterbrew.com/,United States,Atlanta,GA,33.8081,-84.3812,"Sun, 09 Jan 2011 13:56:56 +0000",0,0,,,,285,4.01491,,3,456,393,0,,,,,,,,,,,0.0,[],3.82674,False
0,10.2,,142,https://untappd.akamaized.net/site/beer_logos/beer-sweetwaterDPBarleywine.jpg,,DP Barleywine Ale (Dank Tank),sweetwater-brewing-company-dp-barleywine-ale-dank-tank,Barleywine - American,23190,1224,https://untappd.akamaized.net/site/brewery_logos/brewery-1224_960f1.jpeg,SweetWater Brewing Company ,sweetwater-brewing-company,Micro Brewery,http://www.facebook.com/sweetwaterbrew,SweetWaterBrew,http://sweetwaterbrew.com/,United States,Atlanta,GA,33.8081,-84.3812,"Sun, 09 Jan 2011 13:58:22 +0000",0,0,,,,82,3.93293,,0,122,118,0,,,,,,,,,,,0.0,[],3.70963,False
0,7.5,Dank Tank,0,https://untappd.akamaized.net/site/beer_logos/beer-sweetwaterWetDream.jpg,,Wet Dream (Dank Tank),sweetwater-brewing-company-wet-dream-dank-tank,Red Ale - American Amber / Red,23191,1224,https://untappd.akamaized.net/site/brewery_logos/brewery-1224_960f1.jpeg,SweetWater Brewing Company ,sweetwater-brewing-company,Micro Brewery,http://www.facebook.com/sweetwaterbrew,SweetWaterBrew,http://sweetwaterbrew.com/,United States,Atlanta,GA,33.8081,-84.3812,"Sun, 09 Jan 2011 13:59:11 +0000",0,0,,,,50,4.04,,0,112,93,0,,,,,,,,,,,0.0,[],3.70489,False
