auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,8.0,A rich dark porter with added complexity from subtle smoked malt. Pair this porter with anything cooked on the grill and smoked gouda.,0,https://untappd.akamaized.net/site/beer_logos/beer-HeavySeasSmokeontheWater_10486.jpeg,,Heavy Seas Smoke on the Water,heavy-seas-beer-heavy-seas-smoke-on-the-water,Schwarzbier,10486,385,https://untappd.akamaized.net/site/brewery_logos/brewery-385_4c3de.jpeg,Heavy Seas Beer,heavy-seas-beer,Micro Brewery,https://www.facebook.com/HeavySeasBeer/,HeavySeasBeer,http://www.hsbeer.com/,United States,Baltimore,MD,39.2308,-76.6751,,,"Mon, 22 Nov 2010 12:46:35 +0000",0,0,10486.0,"Thu, 01 Jan 1970 00:00:00 +0000",30925.0,352,3.67045,,1,614,525,0,,,,,,0.0,[],3.66138,False
0,7.4,,120,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,IPA,trinity-brewhouse-ri-ipa,IPA - American,59380,13040,https://untappd.akamaized.net/site/brewery_logos/brewery-13040_25864.jpeg,Trinity Brewhouse (RI),trinity-brewhouse-ri,Brew Pub,https://www.facebook.com/TrinityBrewhouse,TrinityBrew,http://www.trinitybrewhouse.com/,United States,Providence,RI,41.8224,-71.4168,,,"Thu, 23 Jun 2011 15:52:58 +0000",0,1,59380.0,"Thu, 01 Jan 1970 00:00:00 +0000",30926.0,0,0.0,True,0,0,0,0,,,,,,0.0,[],0.0,False
0,5.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,La Terre Promise,les-brasseurs-du-hameau-la-terre-promise,Brown Ale - American,30927,11053,https://untappd.akamaized.net/site/brewery_logos/brewery-LesBrasseursduHameau_11053.jpeg,Les Brasseurs du Hameau,les-brasseurs-du-hameau,Micro Brewery,https://www.facebook.com/pages/Les-Brasseurs-du-Hameau/134915653193739,,http://www.lesbrasseursduhameau.ca,Canada,Ham-Sud,QC,45.7608,-71.6025,,,"Wed, 16 Feb 2011 02:17:15 +0000",0,0,,,,13,2.73077,,0,16,16,0,,,,,,0.0,[],3.54834,False
0,6.2,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Good Farmhouse Ale,mccoy-s-public-house-good-farmhouse-ale,Saison / Farmhouse Ale,8161,3399,https://untappd.akamaized.net/site/brewery_logos/brewery-McCoysPublicHouse_3399.jpeg,McCoy's Public House,mccoy-s-public-house,Brew Pub,https://www.facebook.com/pages/McCoys-Public-House/224560000726,McCoyskc,www.mccoyskc.com,United States,Kansas City,MO,39.0534,-94.5919,,,"Tue, 09 Nov 2010 11:20:14 +0000",0,1,8161.0,"Thu, 01 Jan 1970 00:00:00 +0000",30928.0,911,3.58644,,5,1352,1085,0,,,,,,0.0,[],3.60271,False
0,5.5,"Brewed in collaboration with our friends at The Royale, this stout is sweet and lucious with subtle notes of fresh vanilla bean. Brewed with lactose, Special Roast and Briees?s new Blackprinz malt, this is a smooth and succulent beer.",20,https://untappd.akamaized.net/site/beer_logos/beer-VanillaMilkStout_30929.jpeg,,Vanilla Milk Stout,schlafly-beer-the-saint-louis-brewery-vanilla-milk-stout,Stout - Milk / Sweet,30929,1092,https://untappd.akamaized.net/site/brewery_logos/brewery-schlaflybeerthesaintlouisbrewery_1092.jpeg,Schlafly - The Saint Louis Brewery,schlafly-the-saint-louis-brewery,Micro Brewery,http://www.facebook.com/schlaflybeer,schlafly,http://www.schlafly.com,United States,Saint Louis,MO,38.633,-90.2098,,,"Wed, 16 Feb 2011 02:24:30 +0000",0,1,,,,3296,3.86643,,58,4640,3726,0,,,,,,0.0,[],3.84814,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,White Roses,fort-street-brewery-white-roses,Red Ale - American Amber / Red,30930,2749,https://untappd.akamaized.net/site/brewery_logos/brewery-FortStreetBrewery_2749.jpeg,Fort Street Brewery,fort-street-brewery,Brew Pub,http://www.facebook.com/fortstreetbrewery,fortstreetbeer,http://www.fortstreetbeer.com,United States,Lincoln Park,MI,42.252,-83.176,,,"Wed, 16 Feb 2011 02:30:15 +0000",0,1,,,,0,0.0,,0,4,4,0,,,,,,0.0,[],3.59537,False
0,4.9,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,ESB,coddington-brewing-company-esb,Extra Special / Strong Bitter,30931,6972,https://untappd.akamaized.net/site/brewery_logos/brewery-CoddingtonBrewingCompany_6972.jpeg,Coddington Brewing Company,coddington-brewing-company,Brew Pub,,,http://www.coddbrew.com/,United States,Middletown,RI,41.5185,-71.3056,,,"Wed, 16 Feb 2011 02:32:15 +0000",0,1,,,,168,3.39286,,0,190,185,0,,,,,,0.0,[],3.55858,False
0,5.6,American IPA designed for the hot and humid Florida climate.  Dry hopped with Cascade hops for a clean finish and floral nose,0,https://untappd.akamaized.net/site/beer_logos/beer-30932_4f3de_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-30932_3fa1c_hd.jpeg,Florida Avenue India Pale Ale (IPA),florida-avenue-brewing-co-florida-avenue-india-pale-ale-ipa,IPA - American,30932,7567,https://untappd.akamaized.net/site/brewery_logos/brewery-7567_7c70a.jpeg,Florida Avenue Brewing Co.,florida-avenue-brewing-co,Micro Brewery,http://www.facebook.com/floridaavebrewco,FloridaAveBrew,http://www.floridaavenuebrewing.com,United States,Tampa,FL,27.9826,-82.4586,,,"Wed, 16 Feb 2011 02:33:02 +0000",0,1,,,,6979,3.37126,,109,9226,7883,0,,,,,,0.0,[],3.38301,False
0,0.0,"Aged with Makers Mark oak chips and vanilla beans.
",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Bourbon the Midnight Oil,kenney-ho-brewing-co-bourbon-the-midnight-oil,Stout - Russian Imperial,30933,8219,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Kenney Ho Brewing Co.,kenney-ho-brewing-co,Home Brewery,,,,United States,,,0.0,0.0,,,"Wed, 16 Feb 2011 02:37:10 +0000",1,1,,,,4,0.0,,0,15,7,0,,,,,,0.0,[],1.262,False
0,8.0,Our Raspberry Ale with a hint of vanilla just in time for Valentine's Day,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Vanilla Frambozen,the-brew-kettle-vanilla-frambozen,Fruit Beer,30934,2663,https://untappd.akamaized.net/site/brewery_logos/brewery-TheBrewKettle_2663.jpeg,The Brew Kettle,the-brew-kettle,Micro Brewery,http://www.facebook.com/pages/The-Brew-Kettle/254242136246,brewkettle,http://www.thebrewkettle.com,United States,Strongsville,OH,41.347,-81.8226,,,"Wed, 16 Feb 2011 02:38:07 +0000",0,1,,,,862,3.71085,,10,1069,939,0,,,,,,0.0,[],3.69524,False
